YEARS,COUNT,PERCENTAGE
37.3,15,6.0E-4%
37.4,11,4.0E-4%
37.5,16,6.0E-4%
37.6,18,7.0E-4%
37.7,12,5.0E-4%
37.8,9,4.0E-4%
37.9,10,4.0E-4%
38.0,29,0.0012%
38.1,5,2.0E-4%
38.2,16,6.0E-4%
38.3,10,4.0E-4%
38.4,12,5.0E-4%
38.5,10,4.0E-4%
38.6,14,6.0E-4%
38.7,11,4.0E-4%
38.8,9,4.0E-4%
38.9,4,2.0E-4%
39.0,35,0.0014%
39.1,9,4.0E-4%
39.2,11,4.0E-4%
39.3,8,3.0E-4%
39.4,13,5.0E-4%
39.5,12,5.0E-4%
39.6,18,7.0E-4%
39.7,6,2.0E-4%
39.8,13,5.0E-4%
39.9,16,6.0E-4%
40.0,49,0.002%
40.1,14,6.0E-4%
40.2,16,6.0E-4%
40.3,8,3.0E-4%
40.4,14,6.0E-4%
40.5,9,4.0E-4%
40.6,20,8.0E-4%
40.7,23,9.0E-4%
40.8,10,4.0E-4%
40.9,13,5.0E-4%
41.0,57,0.0023%
41.1,12,5.0E-4%
41.2,12,5.0E-4%
41.3,9,4.0E-4%
41.4,14,6.0E-4%
41.5,8,3.0E-4%
41.6,10,4.0E-4%
41.7,8,3.0E-4%
41.8,11,4.0E-4%
41.9,11,4.0E-4%
42.0,32,0.0013%
42.1,7,3.0E-4%
42.2,12,5.0E-4%
42.3,8,3.0E-4%
42.4,15,6.0E-4%
42.5,20,8.0E-4%
42.6,7,3.0E-4%
42.7,15,6.0E-4%
42.8,9,4.0E-4%
42.9,8,3.0E-4%
43.0,47,0.0019%
43.1,9,4.0E-4%
43.2,7,3.0E-4%
43.3,12,5.0E-4%
43.4,16,6.0E-4%
43.5,18,7.0E-4%
43.6,17,7.0E-4%
43.7,23,9.0E-4%
43.8,14,6.0E-4%
43.9,17,7.0E-4%
44.0,51,0.002%
44.1,12,5.0E-4%
44.2,15,6.0E-4%
44.3,16,6.0E-4%
44.4,16,6.0E-4%
44.5,14,6.0E-4%
44.6,20,8.0E-4%
44.7,14,6.0E-4%
44.8,19,8.0E-4%
44.9,20,8.0E-4%
45.0,47,0.0019%
45.1,7,3.0E-4%
45.2,14,6.0E-4%
45.3,12,5.0E-4%
45.4,16,6.0E-4%
45.5,12,5.0E-4%
45.6,10,4.0E-4%
45.7,18,7.0E-4%
45.8,17,7.0E-4%
45.9,16,6.0E-4%
46.0,47,0.0019%
46.1,14,6.0E-4%
46.2,18,7.0E-4%
46.3,5,2.0E-4%
46.4,11,4.0E-4%
46.5,14,6.0E-4%
46.6,15,6.0E-4%
46.7,10,4.0E-4%
46.8,14,6.0E-4%
46.9,11,4.0E-4%
47.0,52,0.0021%
47.1,12,5.0E-4%
47.2,17,7.0E-4%
47.3,11,4.0E-4%
47.4,15,6.0E-4%
47.5,19,8.0E-4%
47.6,12,5.0E-4%
47.7,20,8.0E-4%
47.8,15,6.0E-4%
47.9,12,5.0E-4%
48.0,63,0.0025%
48.1,15,6.0E-4%
48.2,18,7.0E-4%
48.3,14,6.0E-4%
48.4,11,4.0E-4%
48.5,22,9.0E-4%
48.6,16,6.0E-4%
48.7,17,7.0E-4%
48.8,14,6.0E-4%
48.9,15,6.0E-4%
49.0,50,0.002%
49.1,13,5.0E-4%
49.2,12,5.0E-4%
49.3,14,6.0E-4%
49.4,16,6.0E-4%
49.5,15,6.0E-4%
49.6,18,7.0E-4%
49.7,21,8.0E-4%
49.8,25,0.001%
49.9,22,9.0E-4%
50.0,90,0.0036%
50.1,17,7.0E-4%
50.2,16,6.0E-4%
50.3,21,8.0E-4%
50.4,18,7.0E-4%
50.5,22,9.0E-4%
50.6,14,6.0E-4%
50.7,18,7.0E-4%
50.8,27,0.0011%
50.9,15,6.0E-4%
51.0,53,0.0021%
51.1,19,8.0E-4%
51.2,17,7.0E-4%
51.3,15,6.0E-4%
51.4,18,7.0E-4%
51.5,15,6.0E-4%
51.6,15,6.0E-4%
51.7,18,7.0E-4%
51.8,25,0.001%
51.9,15,6.0E-4%
52.0,52,0.0021%
52.1,26,0.001%
52.2,17,7.0E-4%
52.3,17,7.0E-4%
52.4,22,9.0E-4%
52.5,17,7.0E-4%
52.6,15,6.0E-4%
52.7,18,7.0E-4%
52.8,19,8.0E-4%
52.9,14,6.0E-4%
53.0,63,0.0025%
53.1,21,8.0E-4%
53.2,16,6.0E-4%
53.3,14,6.0E-4%
53.4,14,6.0E-4%
53.5,10,4.0E-4%
53.6,22,9.0E-4%
53.7,22,9.0E-4%
53.8,14,6.0E-4%
53.9,22,9.0E-4%
54.0,72,0.0029%
54.1,20,8.0E-4%
54.2,18,7.0E-4%
54.3,14,6.0E-4%
54.4,14,6.0E-4%
54.5,13,5.0E-4%
54.6,21,8.0E-4%
54.7,24,0.001%
54.8,23,9.0E-4%
54.9,17,7.0E-4%
55.0,91,0.0036%
55.1,13,5.0E-4%
